정류장명,시군구,읍면동,동내동명N,카카오맵,네이버맵,ARS,stop_id,lat,lon
터미널삼거리,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%84%B0%EB%AF%B8%EB%84%90%EC%82%BC%EA%B1%B0%EB%A6%AC,35.2382731,128.6391878",https://map.naver.com/p?lng=128.6391878&lat=35.2382731&zoom=18,118824,CWB379006239,35.238273,128.639188
트리비앙아파트(한국폴리텍대학),창원시의창구,팔룡동,1,"https://map.kakao.com/link/map/%ED%8A%B8%EB%A6%AC%EB%B9%84%EC%95%99%EC%95%84%ED%8C%8C%ED%8A%B8%28%ED%95%9C%EA%B5%AD%ED%8F%B4%EB%A6%AC%ED%85%8D%EB%8C%80%ED%95%99%29,35.2323201,128.6718276",https://map.naver.com/p?lng=128.6718276&lat=35.2323201&zoom=18,114252,CWB379006089,35.23232,128.671828
팔룡119안전센터,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%8C%94%EB%A3%A1119%EC%95%88%EC%A0%84%EC%84%BC%ED%84%B0,35.2448088,128.6233388",https://map.naver.com/p?lng=128.6233388&lat=35.2448088&zoom=18,118809,CWB379000579,35.244809,128.623339
팔룡119안전센터,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%8C%94%EB%A3%A1119%EC%95%88%EC%A0%84%EC%84%BC%ED%84%B0,35.2440491,128.6239615",https://map.naver.com/p?lng=128.6239615&lat=35.2440491&zoom=18,118810,CWB379000594,35.244049,128.623962
팔룡동,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%8C%94%EB%A3%A1%EB%8F%99,35.2527404,128.6109002",https://map.naver.com/p?lng=128.6109002&lat=35.2527404&zoom=18,120604,CWB379000448,35.25274,128.6109
팔룡동,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%8C%94%EB%A3%A1%EB%8F%99,35.253248,128.6110368",https://map.naver.com/p?lng=128.6110368&lat=35.253248&zoom=18,120603,CWB379000444,35.253248,128.611037
팔룡동입구,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%8C%94%EB%A3%A1%EB%8F%99%EC%9E%85%EA%B5%AC,35.2524663,128.6100229",https://map.naver.com/p?lng=128.6100229&lat=35.2524663&zoom=18,118803,CWB379000453,35.252466,128.610023
팔룡동입구,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%8C%94%EB%A3%A1%EB%8F%99%EC%9E%85%EA%B5%AC,35.2516036,128.6107104",https://map.naver.com/p?lng=128.6107104&lat=35.2516036&zoom=18,118804,CWB379000464,35.251604,128.61071
팔룡동행정복지센터,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%8C%94%EB%A3%A1%EB%8F%99%ED%96%89%EC%A0%95%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0,35.255383,128.613313",https://map.naver.com/p?lng=128.613313&lat=35.255383&zoom=18,120606,CWB379000429,35.255383,128.613313
팔룡동행정복지센터,창원시의창구,팔룡동,2,"https://map.kakao.com/link/map/%ED%8C%94%EB%A3%A1%EB%8F%99%ED%96%89%EC%A0%95%EB%B3%B5%EC%A7%80%EC%84%BC%ED%84%B0,35.2554457,128.6130352",https://map.naver.com/p?lng=128.6130352&lat=35.2554457&zoom=18,120605,CWB379000428,35.255446,128.613035
평산사거리,창원시의창구,팔룡동,1,"https://map.kakao.com/link/map/%ED%8F%89%EC%82%B0%EC%82%AC%EA%B1%B0%EB%A6%AC,35.2484379,128.6169916",https://map.naver.com/p?lng=128.6169916&lat=35.2484379&zoom=18,118807,CWB379000512,35.248438,128.616992
평산사거리/신화더플렉스,창원시의창구,팔룡동,1,"https://map.kakao.com/link/map/%ED%8F%89%EC%82%B0%EC%82%AC%EA%B1%B0%EB%A6%AC%2F%EC%8B%A0%ED%99%94%EB%8D%94%ED%94%8C%EB%A0%89%EC%8A%A4,35.2477961,128.6176409",https://map.naver.com/p?lng=128.6176409&lat=35.2477961&zoom=18,118808,CWB379000525,35.247796,128.617641
홈플러스,창원시의창구,팔룡동,1,"https://map.kakao.com/link/map/%ED%99%88%ED%94%8C%EB%9F%AC%EC%8A%A4,35.2339729,128.6444291",https://map.naver.com/p?lng=128.6444291&lat=35.2339729&zoom=18,119101,CWB379000739,35.233973,128.644429
경화성당,창원시진해구,경화동,1,"https://map.kakao.com/link/map/%EA%B2%BD%ED%99%94%EC%84%B1%EB%8B%B9,35.1534018,128.6869288",https://map.naver.com/p?lng=128.6869288&lat=35.1534018&zoom=18,519820,CWB379001526,35.153402,128.686929
경화우체국,창원시진해구,경화동,1,"https://map.kakao.com/link/map/%EA%B2%BD%ED%99%94%EC%9A%B0%EC%B2%B4%EA%B5%AD,35.1535654,128.6858222",https://map.naver.com/p?lng=128.6858222&lat=35.1535654&zoom=18,519819,CWB379001525,35.153565,128.685822
중부시장,창원시진해구,경화동,1,"https://map.kakao.com/link/map/%EC%A4%91%EB%B6%80%EC%8B%9C%EC%9E%A5,35.1533519,128.6820012",https://map.naver.com/p?lng=128.6820012&lat=35.1533519&zoom=18,519817,CWB379001527,35.153352,128.682001
중부시장입구,창원시진해구,경화동,1,"https://map.kakao.com/link/map/%EC%A4%91%EB%B6%80%EC%8B%9C%EC%9E%A5%EC%9E%85%EA%B5%AC,35.1530952,128.6820354",https://map.naver.com/p?lng=128.6820354&lat=35.1530952&zoom=18,519818,CWB379001531,35.153095,128.682035
덕산동,창원시진해구,덕산동,2,"https://map.kakao.com/link/map/%EB%8D%95%EC%82%B0%EB%8F%99,35.1442083,128.7010386",https://map.naver.com/p?lng=128.7010386&lat=35.1442083&zoom=18,519832,CWB379001597,35.144208,128.701039
덕산동,창원시진해구,덕산동,2,"https://map.kakao.com/link/map/%EB%8D%95%EC%82%B0%EB%8F%99,35.1441714,128.7012012",https://map.naver.com/p?lng=128.7012012&lat=35.1441714&zoom=18,519833,CWB379001598,35.144171,128.701201
덕산해군아파트,창원시진해구,덕산동,1,"https://map.kakao.com/link/map/%EB%8D%95%EC%82%B0%ED%95%B4%EA%B5%B0%EC%95%84%ED%8C%8C%ED%8A%B8,35.1448392,128.707034",https://map.naver.com/p?lng=128.707034&lat=35.1448392&zoom=18,518134,CWB379001593,35.144839,128.707034
우성아파트,창원시진해구,덕산동,1,"https://map.kakao.com/link/map/%EC%9A%B0%EC%84%B1%EC%95%84%ED%8C%8C%ED%8A%B8,35.1402174,128.7012582",https://map.naver.com/p?lng=128.7012582&lat=35.1402174&zoom=18,519834,CWB379001613,35.140217,128.701258
자은본동,창원시진해구,덕산동,1,"https://map.kakao.com/link/map/%EC%9E%90%EC%9D%80%EB%B3%B8%EB%8F%99,35.1405106,128.7075129",https://map.naver.com/p?lng=128.7075129&lat=35.1405106&zoom=18,518139,CWB379001612,35.140511,128.707513
자은포스코,창원시진해구,덕산동,1,"https://map.kakao.com/link/map/%EC%9E%90%EC%9D%80%ED%8F%AC%EC%8A%A4%EC%BD%94,35.1427624,128.7074702",https://map.naver.com/p?lng=128.7074702&lat=35.1427624&zoom=18,518137,CWB379001604,35.142762,128.70747
경화시장,창원시진해구,병암동,2,"https://map.kakao.com/link/map/%EA%B2%BD%ED%99%94%EC%8B%9C%EC%9E%A5,35.1535796,128.6912891",https://map.naver.com/p?lng=128.6912891&lat=35.1535796&zoom=18,519822,CWB379001524,35.15358,128.691289
경화시장,창원시진해구,병암동,2,"https://map.kakao.com/link/map/%EA%B2%BD%ED%99%94%EC%8B%9C%EC%9E%A5,35.1537502,128.6899291",https://map.naver.com/p?lng=128.6899291&lat=35.1537502&zoom=18,519821,CWB379001523,35.15375,128.689929
냉천사거리,창원시진해구,석동,1,"https://map.kakao.com/link/map/%EB%83%89%EC%B2%9C%EC%82%AC%EA%B1%B0%EB%A6%AC,35.1536093,128.705243",https://map.naver.com/p?lng=128.705243&lat=35.1536093&zoom=18,518129,CWB379001521,35.153609,128.705243
롯데마트,창원시진해구,석동,2,"https://map.kakao.com/link/map/%EB%A1%AF%EB%8D%B0%EB%A7%88%ED%8A%B8,35.1579253,128.7010845",https://map.naver.com/p?lng=128.7010845&lat=35.1579253&zoom=18,518125,CWB379001492,35.157925,128.701084
롯데마트,창원시진해구,석동,2,"https://map.kakao.com/link/map/%EB%A1%AF%EB%8D%B0%EB%A7%88%ED%8A%B8,35.15791,128.7005807",https://map.naver.com/p?lng=128.7005807&lat=35.15791&zoom=18,518122,CWB379001496,35.15791,128.700581
안민터널,창원시진해구,석동,1,"https://map.kakao.com/link/map/%EC%95%88%EB%AF%BC%ED%84%B0%EB%84%90,35.1596246,128.6980632",https://map.naver.com/p?lng=128.6980632&lat=35.1596246&zoom=18,518123,CWB379002384,35.159625,128.698063
무릉도원,창원시진해구,여좌동,1,"https://map.kakao.com/link/map/%EB%AC%B4%EB%A6%89%EB%8F%84%EC%9B%90,35.1640158,128.6620894",https://map.naver.com/p?lng=128.6620894&lat=35.1640158&zoom=18,511411,CWB379003292,35.164016,128.662089
양지마을,창원시진해구,여좌동,1,"https://map.kakao.com/link/map/%EC%96%91%EC%A7%80%EB%A7%88%EC%9D%84,35.1652571,128.6615612",https://map.naver.com/p?lng=128.6615612&lat=35.1652571&zoom=18,511408,CWB379006206,35.165257,128.661561
여좌농협,창원시진해구,여좌동,2,"https://map.kakao.com/link/map/%EC%97%AC%EC%A2%8C%EB%86%8D%ED%98%91,35.1551683,128.66473",https://map.naver.com/p?lng=128.66473&lat=35.1551683&zoom=18,511402,CWB379002862,35.155168,128.66473
여좌농협,창원시진해구,여좌동,2,"https://map.kakao.com/link/map/%EC%97%AC%EC%A2%8C%EB%86%8D%ED%98%91,35.1547706,128.6648337",https://map.naver.com/p?lng=128.6648337&lat=35.1547706&zoom=18,511401,CWB379002861,35.154771,128.664834
여좌신협,창원시진해구,여좌동,2,"https://map.kakao.com/link/map/%EC%97%AC%EC%A2%8C%EC%8B%A0%ED%98%91,35.1567515,128.6628085",https://map.naver.com/p?lng=128.6628085&lat=35.1567515&zoom=18,511404,CWB379001510,35.156752,128.662809
여좌신협,창원시진해구,여좌동,2,"https://map.kakao.com/link/map/%EC%97%AC%EC%A2%8C%EC%8B%A0%ED%98%91,35.1568246,128.6624651",https://map.naver.com/p?lng=128.6624651&lat=35.1568246&zoom=18,511403,CWB379001509,35.156825,128.662465
중앙시장,창원시진해구,여좌동,1,"https://map.kakao.com/link/map/%EC%A4%91%EC%95%99%EC%8B%9C%EC%9E%A5,35.1521643,128.6669363",https://map.naver.com/p?lng=128.6669363&lat=35.1521643&zoom=18,519809,CWB379001548,35.152164,128.666936
