route_no,passenger_count,population,traffic_volume,headway_minutes,vulnerability_index,traffic_volume_scaled,passenger_count_scaled,headway_minutes_scaled,vulnerability_index_scaled,population_scaled,priority_score,rank,bus_no
CWB379050000,1582703.84,549740,1582703.84,29.181102362204726,0.11996762105722705,1.0,1.0,0.39433922111087466,0.2742263668636898,0.04586250398081467,0.7108767313066254,1,BRT일반(5000)
CWB379001000,1481301.96,477173,1481301.96,28.717391304347828,0.12905591892248724,0.9356550653589005,0.9356550653589005,0.3880728554641598,0.32035629541145794,0.17354240601318552,0.6883974804506366,2,100
CWB379001220,1379749.06,421365,1379749.06,30.849315068493148,0.13531261495378116,0.8712143004232397,0.8712143004232397,0.41688263606071824,0.3521137207454075,0.27173524811252203,0.6684900043518803,3,122
CWB379001020,1429359.22,508727,1429359.22,30.908496732026144,0.1238051056853676,0.9026946092965512,0.9026946092965512,0.4176823882706236,0.29370447974288444,0.11802389720436843,0.6663260809267807,4,102
CWB379001030,1450408.83,473610,1450408.83,25.48854961832061,0.11842021916766961,0.9160517164790871,0.9160517164790871,0.3444398597070353,0.2663721416107058,0.1798114193517738,0.6631373579251073,5,103
CWB379001090,1387702.62,534175,1387702.62,27.474074074074075,0.12130668788318436,0.8762612610748969,0.8762612610748969,0.3712712712712713,0.28102313540251767,0.07324874945236307,0.6354381993846804,6,109
CWB379000641,1090412.76,301191,1090412.76,45.275510204081634,0.1554727730908294,0.6876148907002886,0.6876148907002886,0.6118312189740761,0.45444164486952704,0.48317852876127604,0.6286971955780687,7,64-1
CWB379001130,1261912.34,488704,1261912.34,37.88721804511278,0.10596598349921425,0.7964405778184761,0.7964405778184761,0.5119894330420646,0.20315755401460886,0.15325388712257038,0.6159033774132165,8,113
CWB379001110,1198776.91,381528,1198776.91,37.67701863354037,0.11489065022750623,0.7563777592899862,0.7563777592899862,0.5091489004532482,0.2484569318070605,0.341827497444361,0.6146848785897836,9,111
CWB379000410,1034308.74,333938,1034308.74,48.42051282051282,0.15416634225514916,0.6520138791608286,0.6520138791608286,0.6543312543312543,0.44781052846071145,0.4255609649670714,0.6094117277055263,10,41
CWB379000400,1029400.64,333938,1029400.64,45.627906976744185,0.15416634225514916,0.6488994263152603,0.6488994263152603,0.61659333752357,0.44781052846071145,0.4255609649670714,0.5999954726366484,11,40
CWB379000659,1037924.26,301191,1037924.26,40.909677419354836,0.1554727730908294,0.654308120629464,0.654308120629464,0.5528334786399303,0.45444164486952704,0.48317852876127604,0.5969135854687448,12,65-1
CWB379000658,1037626.26,301191,1037626.26,40.271523178807946,0.1554727730908294,0.6541190236371494,0.6541190236371494,0.5442097726865939,0.45444164486952704,0.48317852876127604,0.5950753860826887,13,65-2
CWB379007100,1198389.92,488704,1198389.92,39.028301886792455,0.10596598349921425,0.75613219336698,0.75613219336698,0.5274094849566549,0.20315755401460886,0.15325388712257038,0.5948023571252369,14,710
CWB379000240,1048350.32,297214,1048350.32,39.927536231884055,0.14721042750341504,0.6609240152190335,0.6609240152190335,0.5395613004308656,0.4125040436558502,0.49017596520460066,0.5947346701036383,15,24
CWB379001150,1184811.64,385241,1184811.64,34.52554744525548,0.1030809285616017,0.7475160460219944,0.7475160460219944,0.4665614519629118,0.1885137362060865,0.3352945626910131,0.594202747895489,16,115
CWB379001100,1084869.31,334487,1084869.31,39.76190476190476,0.11573842929620583,0.6840972741833542,0.6840972741833542,0.5373230373230373,0.25276004647640854,0.42459501258905147,0.5856584778811661,17,110
CWB379000650,1036876.26,301191,1036876.26,36.49618320610687,0.1554727730908294,0.6536431083880354,0.6536431083880354,0.49319166494739014,0.45444164486952704,0.48317852876127604,0.5845862153853796,18,65
CWB379000440,1059878.14,327471,1059878.14,35.23893805309734,0.1516256401330194,0.6682390356550881,0.6682390356550881,0.4762018655823965,0.4349145594803139,0.4369394968954044,0.583369200147104,19,44
CWB379000420,1023261.14,333938,1023261.14,39.47692307692308,0.15416634225514916,0.6450035840860133,0.6450035840860133,0.5334719334719334,0.44781052846071145,0.4255609649670714,0.5810336864887728,20,42
CWB379000450,1059059.14,327471,1059059.14,33.2,0.1516256401330194,0.6677193362030557,0.6677193362030557,0.4486486486486487,0.4349145594803139,0.4369394968954044,0.577546737089135,21,45
CWB379000460,1070446.64,317573,1070446.64,30.784946236559136,0.14983956444659968,0.6749453160687694,0.6749453160687694,0.41601278698052885,0.4258488856856215,0.45435479131733736,0.5761901147376632,22,46
CWB379000210,974887.06,315857,974887.06,44.925,0.144673064076465,0.6143076343075348,0.6143076343075348,0.6070945945945946,0.3996250210577528,0.4573740523021865,0.5757034068394338,23,21
CWB379000710,977609.98,217057,977609.98,33.484848484848484,0.16917676002156115,0.6160354731743579,0.6160354731743579,0.4524979524979525,0.5239996575256303,0.6312102908238043,0.5756418692391487,24,71
CWB379001080,1176975.46,375738,1176975.46,20.075630252100844,0.1250765160830153,0.742543569279592,0.742543569279592,0.27129230070406546,0.30015784116082017,0.3520148640540793,0.5650018722300582,25,108
CWB379001050,1181710.2,575806,1181710.2,32.48051948051948,0.12128043125636065,0.7455480159017117,0.7455480159017117,0.43892593892593895,0.2808898633270157,0.0,0.5632029836589163,26,105
CWB379001010,1155985.46,433213,1155985.46,26.268456375838923,0.12234397398046688,0.7292242878410558,0.7292242878410558,0.3549791402140395,0.2862881403859196,0.25088897529871507,0.5622481123159048,27,101
CWB379000200,976954.56,315857,976954.56,39.304,0.144673064076465,0.6156195740109256,0.6156195740109256,0.5311351351351352,0.3996250210577528,0.4573740523021865,0.5612986787695764,28,20
CWB379001640,837120.04,268723,837120.04,52.107438016528924,0.15790609661249688,0.5268870667835498,0.5268870667835498,0.7041545677909314,0.46679258691085185,0.5403051987240279,0.5576729321918042,29,164
CWB379000270,916426.42,275586,916426.42,43.858024691358025,0.1445211295203675,0.577211220908919,0.577211220908919,0.5926760093426761,0.39885383922363793,0.5282299142607297,0.5575703097623232,30,27
CWB379001630,860274.04,252539,860274.04,45.848,0.1613810144175751,0.5415795223541962,0.5415795223541962,0.6195675675675676,0.4844304012116309,0.568780559900484,0.5541823230372427,31,163
CWB379000230,948501.64,315857,948501.64,39.304,0.144673064076465,0.5975646693311659,0.5975646693311659,0.5311351351351352,0.3996250210577528,0.4573740523021865,0.5504657359617204,32,23
CWB379060000,1102431.13,523475,1102431.13,29.844155844155843,0.11458235827880987,0.695241191436947,0.695241191436947,0.4032994032994033,0.24689211892613847,0.09207514370521033,0.5317013217851837,33,BRT급행(6000)
CWB379007300,997865.98,404199,997865.98,32.14035087719298,0.1314971090972516,0.628888992222428,0.628888992222428,0.43432906590801323,0.3327471666178089,0.3019384148176039,0.5276677666586007,34,730
CWB379030020,704674.92,282382,704674.92,61.3921568627451,0.13879779872654774,0.4428435304119109,0.4428435304119109,0.8296237413884473,0.36980364253242415,0.5162725146960241,0.5202384822476808,35,3002
CWB379002639,810116.64,233471,810116.64,37.74452554744526,0.16460716748546927,0.5097519603329843,0.5097519603329843,0.5100611560465576,0.5008055478796325,0.6023302501447169,0.518176987211537,36,263-1
CWB379002630,809918.64,233471,809918.64,36.054263565891475,0.16460716748546927,0.5096263187072182,0.5096263187072182,0.48721977791745236,0.5008055478796325,0.6023302501447169,0.5135333266102563,37,263
CWB379002589,739549.98,208693,739549.98,42.416666666666664,0.16460063346638362,0.4649736275689302,0.4649736275689302,0.5731981981981982,0.5007723828317853,0.6459265489107964,0.508293709355256,38,258-9
CWB379003150,573496.96,183329,573496.96,69.46794871794872,0.13005580131894026,0.3596040750630283,0.3596040750630283,0.9387560637560637,0.32543144855766576,0.6905539006705363,0.5051121927118499,39,315
CWB379001140,790564.54,317924,790564.54,48.422077922077925,0.12187818472339301,0.4973451036100494,0.4973451036100494,0.6543524043524044,0.2839239105305945,0.45373721520680005,0.50304365561025,40,114
CWB379000500,774128.42,227336,774128.42,35.84,0.15964915367561672,0.48691550341769335,0.48691550341769335,0.4843243243243244,0.4756399089252144,0.6131246360083822,0.49789062140884055,41,50
CWB379000730,678006.0,219287,678006.0,45.05384615384615,0.17154687692384865,0.4259206694713769,0.4259206694713769,0.6088357588357588,0.5360297785640598,0.6272866591243791,0.4936511972188218,42,73
CWB379002580,707075.98,213956,707075.98,42.11864406779661,0.16295406532184187,0.44436713183596094,0.44436713183596094,0.5691708657810353,0.4924148144528831,0.6366664262049332,0.4933625763235652,43,258
CWB379000220,755116.46,289846,755116.46,44.88461538461539,0.1374074508532117,0.4748513945116336,0.4748513945116336,0.6065488565488566,0.3627465842136499,0.5031397850975894,0.4928092449478754,44,22
CWB379001550,872326.81,427786,872326.81,44.981308411214954,0.09177953462712665,0.5492276517369472,0.5492276517369472,0.6078555190704723,0.13115068512472877,0.26043765208471525,0.4902665285772072,45,155
CWB379002620,772895.9,219234,772895.9,30.848214285714285,0.16347829260060026,0.4861334033339094,0.4861334033339094,0.4168677606177606,0.49507566110100554,0.6273799113575942,0.48729915136975777,46,262
CWB379003170,486586.54,111141,486586.54,66.84848484848484,0.14775825302993495,0.30445474948316237,0.30445474948316237,0.9033579033579033,0.4152846691117571,0.8175669612616148,0.48662959339881534,47,317
CWB379001600,689921.54,210409,689921.54,40.63636363636363,0.16348635277008114,0.4334817190546135,0.4334817190546135,0.5491400491400491,0.49511657250683183,0.6429072879259472,0.48371942730405587,48,160
CWB379002581,665608.98,208693,665608.98,42.152542372881356,0.16460063346638362,0.4180540949892825,0.4180540949892825,0.5696289509848832,0.5007723828317853,0.6459265489107964,0.47942814036480424,49,258-1
CWB379002590,728225.6,237388,728225.6,35.17,0.1535334557770401,0.4577877007305819,0.4577877007305819,0.4752702702702703,0.44459815487361587,0.5954383822672961,0.47373032820649436,50,259
CWB379002608,747690.1,266446,747690.1,34.76551724137931,0.1502105492294874,0.4701389705524203,0.4701389705524203,0.4698042870456663,0.42773191172423053,0.5443115258000778,0.4732485834930163,51,260-1
CWB379002609,747011.1,266446,747011.1,34.55555555555556,0.1502105492294874,0.4697081086135558,0.4697081086135558,0.466966966966967,0.42773191172423053,0.5443115258000778,0.4724226023139577,52,260-2
CWB379001510,766905.08,392219,766905.08,49.76699029126213,0.09707841792467983,0.48233190654364677,0.48233190654364677,0.6725268958278666,0.15804649240602903,0.3230169384763993,0.4720108661800042,53,151
CWB379000800,566193.94,138114,566193.94,48.99090909090909,0.1603820032726588,0.3549699169529159,0.3549699169529159,0.6620393120393121,0.47935967032047366,0.7701086124595541,0.4703366408576148,54,80
