rank,route_no,route_name,route_type,n_stops,type_weight,importance_score
138,CWB379000190,소계종점 ↔ STX칸1차아파트후문,지선버스,56,1.0,86.0
139,CWB379002400,평성종점 ↔ 수곡종점,지선버스,74,1.0,84.0
140,CWB379005110,창원시청(정우상가) ↔ 중앙동,지선버스,33,1.0,83.0
141,CWB379005111,세아제강 ↔ 대원파크빌아파트,지선버스,32,1.0,82.0
142,CWB379000731,월안마을 ↔ 진동환승센터,지선버스,50,1.0,80.0
143,CWB379002240,종합터미널 ↔ 터미널삼거리,지선버스,49,1.0,79.0
144,CWB379002640,덕동공영차고지 ↔ 가포LH1단지,지선버스,46,1.0,76.0
145,CWB379000370,가술 ↔ 우성아파트,지선버스,54,1.0,74.0
146,CWB379000721,진동환승센터 ↔ 대현종점.용광사,지선버스,51,1.0,71.0
147,CWB379002730,어시장 ↔ 자유무역지역정문,지선버스,20,1.0,70.0
148,CWB379000080,창원역 ↔ 삼성창원병원종점(8),마을버스,39,0.5,69.5
149,CWB379000741,진동환승센터 ↔ 정곡종점,지선버스,46,1.0,66.0
150,CWB379005109,세아제강 ↔ 남창원역,지선버스,33,1.0,63.0
151,CWB379005100,창원종합운동장 ↔ 창원문성대학교,지선버스,33,1.0,63.0
152,CWB379000070,창원역 ↔ 자여입구,마을버스,37,0.5,58.5
153,CWB379002700,합성동무학아파트 ↔ 합성동무학아파트,지선버스,18,1.0,58.0
154,CWB379009900,인의동터미널 ↔ 북원로터리,간선버스,14,2.0,58.0
155,CWB379000030,상리 ↔ 진영시외주차장,마을버스,69,0.5,54.5
156,CWB379003529,부암마을 ↔ 주포종점,마을버스,65,0.5,52.5
157,CWB379002250,대방동종점 ↔ 대방동종점,지선버스,32,1.0,52.0
158,CWB379005300,창원역 ↔ 인화정공,지선버스,31,1.0,51.0
159,CWB379002710,창원시립마산박물관 ↔ 창원시립마산박물관,지선버스,19,1.0,49.0
160,CWB379003530,웅동농협하나로마트 ↔ 포스텍지엘씨,마을버스,57,0.5,48.5
161,CWB379003520,부암마을 ↔ 주포종점,마을버스,56,0.5,48.0
162,CWB379005309,삼광3공장 ↔ 창원역,지선버스,35,1.0,45.0
163,CWB379003531,웅동농협하나로마트 ↔ 포스텍지엘씨,마을버스,28,0.5,34.0
164,CWB379003500,수도마을 ↔ 삼포마을,마을버스,47,0.5,33.5
165,CWB379009990,북원로터리 ↔ 북원로터리,간선버스,3,2.0,26.0
166,CWB379003510,대장동종점 ↔ 대장동종점,마을버스,28,0.5,24.0
167,CWB379009980,3정문 ↔ 3정문,간선버스,4,2.0,18.0
