위도,경도,정류장ID,정류장명,정류장번호
35.11647831,128.7965877,CWB379002620,용원휴요양병원,503004
35.11660358,128.79671,CWB379002621,용원휴요양병원,503003
35.11329143,128.8039912,CWB379002624,공지곡,518156
35.11149303,128.8048512,CWB379002625,공지곡,518153
35.10728676,128.8050101,CWB379002627,해인로즈빌아파트,630212
35.10703863,128.8049955,CWB379002628,해인로즈빌아파트,630213
35.10413222,128.8047932,CWB379002630,부영2차아파트,511102
35.10430161,128.8043972,CWB379002631,부영3차아파트,511101
35.10379943,128.8063782,CWB379002633,안골포초등학교,511005
35.10373599,128.8065832,CWB379002634,안골포초등학교,511006
35.10157759,128.8062652,CWB379002635,코아루아파트,511003
35.10151315,128.8064851,CWB379002636,코아루아파트,511004
35.09988264,128.8074294,CWB379002638,안청초등학교,511001
35.09989936,128.8076506,CWB379002639,안청초등학교,511002
35.10100298,128.8094675,CWB379002643,용원하나로마트,510403
35.10054446,128.8099436,CWB379002650,웅동농협하나로마트,513001
35.10034009,128.8099264,CWB379002651,웅동농협하나로마트,513002
35.0998244,128.8125352,CWB379002652,용원복지회관,513004
35.09990394,128.8131606,CWB379002653,용원복지회관,513003
35.09952843,128.8151162,CWB379002655,웅동2동행정복지센터,513005
35.09919443,128.8156102,CWB379002656,웅동2동행정복지센터,513006
35.09883756,128.818492,CWB379002657,용원초등학교,513007
35.09869096,128.8181886,CWB379002658,용원초등학교,513008
35.0976512,128.8205994,CWB379002661,용원사거리,512903
35.0965756,128.82035295,CWB379002662,용원종점,512902
35.09773577,128.8185754,CWB379002665,용원초교,513101
35.10387543,128.7931055,CWB379002666,안성마을,519601
35.1037644,128.7929982,CWB379002667,안성마을,519602
35.09641411,128.8020898,CWB379002669,안골입구,519605
35.09263885,128.79775463,CWB379002673,안골버스회차지,630214
35.09292952,128.79775279,CWB379002674,안골,630422
35.13013573,128.7063966,CWB379002677,대동다숲.마린푸르지오2단지,522319
35.15095658,128.708536,CWB379002680,자은주공후문,515902
35.15098391,128.7083588,CWB379002681,자은주공후문,515901
35.15260143,128.7102512,CWB379002682,대동빌라트2차,515904
35.15268925,128.7101864,CWB379002683,대동빌라트2차,515903
35.15424143,128.7094012,CWB379002686,석동그린빌2단지,503204
35.15409548,128.7094335,CWB379002687,석동그린빌2단지,503203
35.15334068,128.707192,CWB379002688,자은농협,503202
35.15314589,128.7070952,CWB379002689,자은농협,503201
35.14782328,128.65773937,CWB379002691,블루빌아파트,519702
