statsYm,admmCd,ctpvNm,sggNm,dongNm,tong,ban,totNmprCnt,maleNmprCnt,femlNmprCnt,male0AgeNmprCnt,male10AgeNmprCnt,male20AgeNmprCnt,male30AgeNmprCnt,male40AgeNmprCnt,male50AgeNmprCnt,male60AgeNmprCnt,male70AgeNmprCnt,male80AgeNmprCnt,male90AgeNmprCnt,male100AgeNmprCnt,feml0AgeNmprCnt,feml10AgeNmprCnt,feml20AgeNmprCnt,feml30AgeNmprCnt,feml40AgeNmprCnt,feml50AgeNmprCnt,feml60AgeNmprCnt,feml70AgeNmprCnt,feml80AgeNmprCnt,feml90AgeNmprCnt,feml100AgeNmprCnt
202604,4812125000,경상남도,창원시 의창구,동읍,15,2,51,26,25,0,0,1,1,2,3,12,4,2,1,0,0,0,2,1,3,4,9,2,0,4,0
202604,4812125000,경상남도,창원시 의창구,동읍,15,3,143,68,75,2,1,5,4,5,13,24,14,0,0,0,1,5,8,5,5,11,16,12,7,5,0
202604,4812125000,경상남도,창원시 의창구,동읍,16,1,131,71,60,0,4,6,7,7,9,24,13,1,0,0,0,1,2,0,2,15,23,6,9,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,16,2,134,75,59,0,2,3,6,3,14,23,13,11,0,0,0,3,5,0,1,13,13,13,8,3,0
202604,4812125000,경상남도,창원시 의창구,동읍,16,3,204,110,94,4,6,11,4,13,16,32,22,2,0,0,0,1,8,6,9,20,25,16,5,4,0
202604,4812125000,경상남도,창원시 의창구,동읍,17,1,131,55,76,0,2,3,4,2,11,15,12,5,1,0,0,5,3,2,3,15,12,14,17,5,0
202604,4812125000,경상남도,창원시 의창구,동읍,17,2,212,101,111,0,6,8,8,6,24,27,18,4,0,0,0,6,6,2,12,21,32,17,11,4,0
202604,4812125000,경상남도,창원시 의창구,동읍,18,1,139,67,72,2,5,3,3,3,7,19,17,6,2,0,0,0,1,4,7,11,19,17,12,1,0
202604,4812125000,경상남도,창원시 의창구,동읍,18,2,95,47,48,3,0,2,6,5,3,13,12,3,0,0,2,1,3,3,2,6,15,10,4,2,0
202604,4812125000,경상남도,창원시 의창구,동읍,18,3,49,28,21,0,2,2,0,1,6,8,6,3,0,0,0,1,0,2,0,3,5,5,3,2,0
