정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
NJB1664,일곡청솔4차아파트,35.20711,126.9013,2025-10-31,2664,36040,전라남도 나주시,나주BIS
NJB1665,용산교.북구,35.24439,126.8906,2025-10-31,2665,36040,전라남도 나주시,나주BIS
NJB1666,삼소동입구,35.24634,126.8876,2025-10-31,2666,36040,전라남도 나주시,나주BIS
NJB1667,응기,35.25157,126.891,2025-10-31,2667,36040,전라남도 나주시,나주BIS
NJB1668,수북,35.30769,126.9199,2025-10-31,2668,36040,전라남도 나주시,나주BIS
NJB1669,성산리,35.28903,126.9139,2025-10-31,2669,36040,전라남도 나주시,나주BIS
NJB1670,월산.삼각동,35.20432,126.9013,2025-10-31,2670,36040,전라남도 나주시,나주BIS
NJB1671,광주역,35.16468,126.9069,2025-10-31,2671,36040,전라남도 나주시,나주BIS
NJB1672,정중리,35.27758,126.9361,2025-10-31,2672,36040,전라남도 나주시,나주BIS
NJB1673,개동리,35.28117,126.9369,2025-10-31,2673,36040,전라남도 나주시,나주BIS
NJB1674,소촌금호아파트,35.1529,126.8071,2025-10-31,2674,36040,전라남도 나주시,나주BIS
NJB1675,주평,35.23132,126.9562,2025-10-31,2675,36040,전라남도 나주시,나주BIS
NJB1676,금호타이어,35.14495,126.7903,2025-10-31,2676,36040,전라남도 나주시,나주BIS
NJB1677,매방골,35.15175,126.777,2025-10-31,2677,36040,전라남도 나주시,나주BIS
NJB1678,도림,35.1667,126.7009,2025-10-31,2678,36040,전라남도 나주시,나주BIS
NJB1679,용호(광산구),35.18274,126.6795,2025-10-31,2679,36040,전라남도 나주시,나주BIS
NJB1680,보강입구,35.21497,126.6581,2025-10-31,2680,36040,전라남도 나주시,나주BIS
NJB1681,학동.본량,35.19177,126.67,2025-10-31,2681,36040,전라남도 나주시,나주BIS
NJB1682,옥산,35.19104,126.6742,2025-10-31,2682,36040,전라남도 나주시,나주BIS
NJB1683,송산,35.15888,126.7164,2025-10-31,2683,36040,전라남도 나주시,나주BIS
NJB1684,운평,35.153,126.7315,2025-10-31,2684,36040,전라남도 나주시,나주BIS
NJB1685,광주어망,35.03487,126.837,2025-10-31,2685,36040,전라남도 나주시,나주BIS
